customer_id,order_id,customer_segment,location_type,product_category,payment_method,payment_status,shipping_method,actual_delivery_days,delivery_status,customer_review_score,product_returned,fraud_flag,total_order_value_usd
CUST-7BB231F4,ORD-003A8561,Standard,Suburban,Home,Digital Wallet,Success,Standard,5.8,Late,5,No,No,847.26
CUST-52B98EB2,ORD-003DC315,Standard,Suburban,Groceries,Digital Wallet,Success,Standard,3.0,On Time,5,No,No,40.93
CUST-D10893FF,ORD-003E0A24,VIP,Suburban,Electronics,Credit Card,Success,Express,1.0,On Time,4,No,No,144.84
CUST-E5FF3A49,ORD-003E6EB5,Standard,Urban,Toys,Digital Wallet,Success,Standard,2.8,On Time,4,No,No,161.8
CUST-09FCCDF9,ORD-0041D3F6,VIP,Suburban,Clothing,Bank Transfer,Success,Express,5.2,Late,4,No,No,123.14
CUST-8DC52505,ORD-00487B4F,Standard,Urban,Groceries,Credit Card,Success,Standard,9.2,Late,3,No,No,116.62
CUST-8DA404B8,ORD-004B112B,VIP,Urban,Electronics,Credit Card,Success,Express,3.8,Late,4,No,No,1020.81
CUST-2698CF4D,ORD-0051128A,VIP,Urban,Clothing,Bank Transfer,Success,Express,2.3,On Time,5,No,No,567.27
CUST-1F9D7A5E,ORD-0052D1EA,VIP,Urban,Groceries,Credit Card,Success,Express,1.6,On Time,5,No,No,108.97
CUST-AE06EAF6,ORD-00531543,Standard,Urban,Clothing,Credit Card,Success,Standard,2.3,On Time,5,No,No,81.83
CUST-B9458839,ORD-00562A40,Standard,Urban,Clothing,Bank Transfer,Success,Standard,9.7,Late,2,Yes,No,223.61
CUST-39833ED9,ORD-005AD1B6,Standard,Rural,Home,Credit Card,Success,Standard,4.4,On Time,5,No,No,1170.37
CUST-DDAFBE5F,ORD-005E8D71,Standard,Urban,Home,Bank Transfer,Success,Standard,3.9,On Time,5,No,No,878.45
CUST-0EF045D0,ORD-005F89D2,Standard,Suburban,Home,Credit Card,Success,Standard,3.3,On Time,5,Yes,No,214.68
CUST-B5148AE6,ORD-006136A3,Premium,Urban,Clothing,Digital Wallet,Success,Express,5.8,Late,4,Yes,No,107.76
CUST-3DC087C2,ORD-0062E8B7,Standard,Urban,Toys,Bank Transfer,Success,Standard,3.9,On Time,4,No,No,164.15
CUST-84040EB9,ORD-0062F43F,Standard,Urban,Electronics,Digital Wallet,Success,Standard,4.9,Late,4,Yes,No,1454.92
CUST-D77538EB,ORD-0066863E,Standard,Urban,Toys,Credit Card,Failed,Standard,2.3,Cancelled,5,No,No,84.83
CUST-BC0A2E54,ORD-0067B5C0,Standard,Suburban,Home,Digital Wallet,Success,Standard,3.9,On Time,4,No,No,1169.25
CUST-94A69D98,ORD-00692EDE,Premium,Urban,Toys,Digital Wallet,Success,Standard,5.1,Late,4,No,No,77.85
CUST-CD580E82,ORD-006C5315,Premium,Suburban,Electronics,Credit Card,Success,Standard,3.3,On Time,5,No,No,1704.82
CUST-437C1D50,ORD-006F6922,Standard,Rural,Home,Credit Card,Success,Standard,7.1,Late,3,No,No,468.53
CUST-5596DE0B,ORD-0071305F,Standard,Urban,Toys,Credit Card,Success,Standard,4.7,Late,4,No,No,220.33
CUST-9B6BBC9D,ORD-0071F8A6,Standard,Urban,Home,Credit Card,Success,Standard,5.1,Late,4,No,No,337.58
CUST-C78C2F46,ORD-007DFCC4,VIP,Urban,Electronics,Digital Wallet,Success,Express,2.7,On Time,4,No,No,1780.97
CUST-E4A86739,ORD-007F0EF1,Standard,Suburban,Home,Bank Transfer,Success,Standard,3.9,On Time,5,No,No,89.68
CUST-B10B09E6,ORD-007F4145,Premium,Rural,Toys,Digital Wallet,Success,Standard,4.2,On Time,5,No,No,84.02
CUST-B6E38157,ORD-007FE093,Premium,Urban,Electronics,Credit Card,Success,Express,2.5,On Time,5,No,No,809.43
CUST-742823C7,ORD-0084792F,Standard,Suburban,Groceries,Bank Transfer,Success,Standard,1.8,On Time,5,No,No,176.49
CUST-E6712948,ORD-0087177B,Premium,Rural,Toys,Credit Card,Success,Standard,5.4,Late,4,No,No,138.15
CUST-E9709002,ORD-00878480,Premium,Rural,Home,Digital Wallet,Success,Express,3.6,Late,4,No,No,200.43
CUST-7CEE42FC,ORD-00896786,Standard,Urban,Groceries,Credit Card,Success,Standard,4.4,On Time,4,No,No,219.59
CUST-D47A8C93,ORD-008F6004,VIP,Urban,Toys,Digital Wallet,Failed,Express,6.1,Cancelled,5,No,No,48.41
CUST-25AFE073,ORD-00902B37,Standard,Suburban,Home,Credit Card,Success,Standard,3.9,On Time,5,No,No,91.33
CUST-A4E05C09,ORD-0096E5FD,Standard,Suburban,Home,Credit Card,Success,Standard,7.4,Late,4,Yes,No,517.77
CUST-5FC0844B,ORD-009A0C1A,Standard,Rural,Electronics,Digital Wallet,Success,Standard,5.6,Late,3,No,No,1657.46
CUST-C68080F2,ORD-009D4EE4,Standard,Urban,Electronics,Bank Transfer,Success,Standard,3.7,On Time,5,No,No,1213.59
CUST-A3E32D07,ORD-00A23197,Standard,Rural,Groceries,Credit Card,Success,Standard,6.7,Late,4,No,No,64.58
CUST-CD0D5ED6,ORD-00A2A26C,Standard,Rural,Home,Credit Card,Success,Standard,6.1,Late,4,No,No,568.17
CUST-F905ABFC,ORD-00A386FC,Standard,Suburban,Home,Digital Wallet,Success,Standard,2.1,On Time,5,No,No,140.28
CUST-5D2D8A81,ORD-00AA1605,Premium,Rural,Clothing,Credit Card,Success,Express,5.4,Late,4,No,No,728.43
CUST-DAE95C52,ORD-00ABA017,Standard,Rural,Clothing,Digital Wallet,Success,Standard,6.0,Late,5,No,No,114.81
CUST-AF3A2243,ORD-00ABD58B,Standard,Suburban,Clothing,Credit Card,Success,Standard,3.0,On Time,5,Yes,No,108.63
CUST-78936797,ORD-00ACAD52,Standard,Urban,Clothing,Digital Wallet,Success,Standard,1.9,On Time,5,No,No,76.79
CUST-C92EC115,ORD-00AF1AC0,VIP,Suburban,Electronics,Credit Card,Success,Express,2.1,On Time,5,No,No,582.09
CUST-A4D59A20,ORD-00B08C3C,Standard,Suburban,Groceries,Digital Wallet,Success,Standard,4.6,On Time,5,No,No,377.8
CUST-8318FF9C,ORD-00B13468,Standard,Urban,Groceries,Digital Wallet,Success,Standard,-8.0,On Time,5,No,No,273.83
CUST-9FB4C501,ORD-00B5DEE6,Standard,Urban,Toys,Digital Wallet,Success,Standard,1.3,On Time,5,No,No,111.27
CUST-E1A7A18F,ORD-00BE59E9,Standard,Urban,Electronics,Bank Transfer,Failed,Standard,2.2,Cancelled,5,No,No,870.63
CUST-584EC955,ORD-00BEECCB,Standard,Rural,Home,Credit Card,Failed,Standard,5.6,Cancelled,4,No,No,875.83
CUST-0DEC6917,ORD-00C1CEE5,Standard,Suburban,Home,Credit Card,Success,Standard,4.1,On Time,5,No,No,1131.18
CUST-70661FCA,ORD-00C6997D,VIP,Urban,Electronics,Credit Card,Success,Express,2.9,On Time,4,No,No,1921.6
CUST-197A6775,ORD-00CBFE98,Standard,Urban,Electronics,Digital Wallet,Success,Standard,4.7,On Time,4,No,No,177.87
CUST-640ABB75,ORD-00CE9DC3,VIP,Suburban,Electronics,Digital Wallet,Success,Express,2.8,On Time,4,No,No,790.64
CUST-94BE3A2F,ORD-00CF9B76,Standard,Rural,Clothing,Credit Card,Success,Standard,5.0,Late,4,Yes,No,43.21
CUST-5F67899B,ORD-00D176B9,Standard,Rural,Clothing,Bank Transfer,Success,Standard,6.1,Late,3,No,No,235.22
CUST-8F23686C,ORD-00D1A500,Premium,Urban,Home,Credit Card,Failed,Same-Day,3.7,Cancelled,3,No,No,475.69
CUST-F2098F6E,ORD-00D6E4DC,Standard,Suburban,Toys,Credit Card,Success,Standard,4.3,On Time,4,No,No,395.78
CUST-E4A6FDDB,ORD-00D7F2B0,Premium,Urban,Electronics,Digital Wallet,Success,Standard,6.3,Late,4,No,No,1500.21
CUST-9D6D6640,ORD-00D8341C,Standard,Urban,Toys,Credit Card,Success,Standard,4.6,Late,4,No,No,116.33
CUST-B69E52ED,ORD-00DB4F1C,Standard,Suburban,Groceries,Digital Wallet,Success,Standard,4.4,On Time,5,No,No,67.12
CUST-7BE1907E,ORD-00DD76D9,Standard,Urban,Toys,Digital Wallet,Success,Standard,3.0,On Time,5,No,No,172.91
CUST-43A2ADC1,ORD-00DEA94C,Premium,Rural,Toys,Credit Card,Failed,Express,7.8,Cancelled,3,No,No,195.87
CUST-0F3D87C4,ORD-00DF28FB,Standard,Rural,Clothing,Bank Transfer,Success,Standard,6.3,Late,4,No,No,527.24
CUST-BD3D9AE2,ORD-00E48FF7,Standard,Urban,Toys,Credit Card,Failed,Standard,2.7,Cancelled,5,No,No,16.35
CUST-6FFDFDC4,ORD-00E4AF34,Premium,Suburban,Clothing,Digital Wallet,Success,Standard,5.2,Late,5,No,No,125.3
CUST-ACFD1AE1,ORD-00EE8625,Standard,Rural,Clothing,Credit Card,Success,Standard,5.6,Late,4,No,No,348.96
CUST-88AECFE1,ORD-00EF5BBA,VIP,Urban,Clothing,Digital Wallet,Success,Express,3.1,On Time,5,No,No,471.68
CUST-985B6B46,ORD-00F7FE69,Standard,Urban,Groceries,Digital Wallet,Success,Standard,5.3,Late,5,No,No,41.12
CUST-08CC7282,ORD-00FBC26E,Standard,Urban,Home,Credit Card,Success,Standard,2.8,On Time,5,No,No,117.86
CUST-C0D8FA56,ORD-00FE6625,Standard,Urban,Groceries,Credit Card,Success,Standard,4.1,On Time,4,No,No,45.53
CUST-FC0D087E,ORD-0104C191,VIP,Urban,Clothing,Digital Wallet,Success,Same-Day,1.4,On Time,5,No,No,109.31
CUST-22118305,ORD-010B6CA3,Standard,Urban,Home,Credit Card,Success,Standard,2.6,On Time,5,No,No,384.08
CUST-61B22CF3,ORD-010DCDC3,Premium,Rural,Home,Credit Card,Success,Express,3.7,Late,5,No,No,259.55
CUST-C1C872AA,ORD-010FAFC1,Premium,Urban,Groceries,Digital Wallet,Success,Express,5.6,Late,3,Yes,No,42.88
CUST-BCEAB719,ORD-011076F8,Premium,Suburban,Electronics,Digital Wallet,Success,Express,3.2,On Time,4,No,No,958.54
CUST-B2D19288,ORD-01168F9D,Standard,Urban,Home,Credit Card,Success,Standard,3.5,On Time,5,No,No,418.27
CUST-302BB4A5,ORD-011C5594,Standard,Urban,Home,Credit Card,Success,Standard,3.0,On Time,5,No,No,401.7
CUST-8E1C0764,ORD-011CB190,Premium,Suburban,Electronics,Digital Wallet,Success,Standard,3.0,On Time,5,No,Yes,1974.39
CUST-450FA08C,ORD-011DBBDE,VIP,Urban,Clothing,Bank Transfer,Success,Express,5.7,Late,4,No,No,55.09
CUST-DE8D54EF,ORD-011DE10D,Standard,Urban,Clothing,Credit Card,Success,Standard,1.0,On Time,5,No,No,20.16
CUST-B00045B8,ORD-012473B4,Standard,Urban,Groceries,Digital Wallet,Success,Standard,6.0,Late,3,No,No,148.92
CUST-C9ED7DDD,ORD-0128FAB6,VIP,Urban,Groceries,Credit Card,Success,Express,3.6,Late,4,Yes,No,401.74
CUST-53417246,ORD-012B1676,Standard,Rural,Electronics,Credit Card,Success,Standard,6.4,Late,4,Yes,Yes,3839.3
CUST-A659A850,ORD-012C253D,Standard,Urban,Groceries,Digital Wallet,Failed,Standard,3.5,Cancelled,5,No,No,42.1
CUST-35AF28ED,ORD-012F3222,Standard,Suburban,Clothing,Digital Wallet,Success,Standard,2.3,On Time,5,No,No,345.15
CUST-960EEA5A,ORD-01305198,Standard,Urban,Clothing,Digital Wallet,Success,Standard,7.0,Late,4,No,No,370.05
CUST-664F3A2B,ORD-01316DE0,Standard,Suburban,Groceries,Credit Card,Success,Standard,3.7,On Time,5,Yes,No,44.55
CUST-720B0500,ORD-013373C7,VIP,Urban,Electronics,Credit Card,Success,Express,1.0,On Time,5,No,Yes,3957.98
CUST-3CFD5202,ORD-01361235,Standard,Rural,Toys,Bank Transfer,Failed,Standard,5.0,Cancelled,5,No,No,49.96
CUST-C0EA2D90,ORD-01378429,VIP,Urban,Groceries,Credit Card,Success,Express,3.5,On Time,4,No,No,49.09
CUST-1FEBFDB1,ORD-013807C5,Standard,Urban,Clothing,Credit Card,Success,Standard,4.5,Late,5,No,No,127.0
CUST-BB6C32D0,ORD-013B1666,VIP,Urban,Electronics,Credit Card,Success,Express,4.6,Late,4,No,No,612.12
CUST-EA09AF5F,ORD-013DB2A2,Standard,Urban,Electronics,Credit Card,Success,Standard,5.3,Late,4,No,No,2433.61
CUST-58738CCC,ORD-013E3088,Standard,Rural,Clothing,Credit Card,Success,Standard,4.1,On Time,5,No,No,413.59
CUST-172607F3,ORD-013FE9A9,Standard,Suburban,Home,Digital Wallet,Success,Standard,4.5,On Time,5,No,No,929.73
CUST-7620EAA7,ORD-013FF17B,Standard,Rural,Groceries,Digital Wallet,Success,Standard,6.1,Late,5,No,No,48.22
CUST-1C907436,ORD-015353C1,Standard,Urban,Groceries,Digital Wallet,Success,Standard,3.9,On Time,4,No,No,90.16
CUST-BF523936,ORD-015679C2,VIP,Rural,Toys,Credit Card,Success,Express,3.7,Late,4,No,No,345.9
CUST-1088F639,ORD-0156BA25,Standard,Suburban,Toys,Bank Transfer,Success,Standard,2.9,On Time,5,No,No,51.68
CUST-6FA1BBCC,ORD-01585ED4,Standard,Suburban,Groceries,Credit Card,Success,Standard,4.2,On Time,5,No,No,52.64
CUST-E25E137F,ORD-015FFA5F,Standard,Suburban,Groceries,Credit Card,Success,Standard,3.5,On Time,5,No,No,403.11
CUST-59E5D319,ORD-01658DEC,Standard,Urban,Electronics,Credit Card,Success,Standard,4.7,Late,5,No,No,406.54
CUST-5737D836,ORD-0166664A,Standard,Suburban,Clothing,Digital Wallet,Success,Standard,8.0,Late,3,No,No,60.4
CUST-C17C2459,ORD-0168B7F5,Standard,Suburban,Clothing,Credit Card,Success,Standard,3.3,On Time,5,No,No,428.8
CUST-59585CE2,ORD-0169BDD8,Standard,Rural,Toys,Digital Wallet,Success,Standard,3.9,On Time,4,No,No,109.6
CUST-51FAD842,ORD-016B1E7D,Standard,Urban,Home,Bank Transfer,Success,Standard,3.5,On Time,4,No,No,317.14
CUST-CF148EE5,ORD-016FE8D0,Standard,Urban,Toys,Digital Wallet,Success,Standard,2.6,On Time,5,No,No,240.31
CUST-4E8E9735,ORD-0170DD57,Standard,Urban,Home,Credit Card,Success,Standard,3.0,On Time,5,No,No,191.64
CUST-19253BA5,ORD-0170DF01,Standard,Urban,Toys,Credit Card,Success,Standard,4.9,Late,4,No,No,82.52
CUST-B30DEC29,ORD-01734425,Standard,Rural,Clothing,Bank Transfer,Success,Standard,9.0,Late,4,No,No,276.71
CUST-43145B0B,ORD-0176F3DB,Standard,Suburban,Groceries,Digital Wallet,Success,Standard,2.2,On Time,5,No,No,200.84
CUST-CD32E025,ORD-01772D0A,Standard,Suburban,Clothing,Credit Card,Success,Standard,2.7,On Time,5,Yes,No,43.64
CUST-A8BC0276,ORD-017822C4,VIP,Urban,Groceries,Credit Card,Success,Express,1.0,On Time,5,No,No,158.45
CUST-37DAE95C,ORD-017D9B98,Standard,Rural,Home,Digital Wallet,Success,Standard,6.7,Late,3,No,No,86.59
CUST-B53071FE,ORD-017DCCD3,VIP,Suburban,Toys,Credit Card,Success,Express,1.0,On Time,5,No,No,42.62
CUST-CC2369BA,ORD-017F4719,Standard,Suburban,Clothing,Digital Wallet,Success,Standard,3.0,On Time,5,No,No,262.36
CUST-3683C497,ORD-0180F365,Premium,Rural,Electronics,Digital Wallet,Success,Standard,3.2,On Time,5,No,Yes,3451.05
CUST-75347EF2,ORD-018169BD,Standard,Urban,Electronics,Digital Wallet,Success,Standard,2.2,On Time,5,No,No,2796.66
CUST-AD295EA2,ORD-0184012E,Standard,Urban,Electronics,Credit Card,Success,Standard,6.0,Late,4,No,Yes,3730.39
CUST-82D14867,ORD-018594B0,Standard,Suburban,Clothing,Credit Card,Success,Standard,5.9,Late,4,No,No,550.05
CUST-A3FE76FD,ORD-01872591,Standard,Urban,Home,Credit Card,Success,Standard,3.9,On Time,5,Yes,No,549.96
CUST-53C9E141,ORD-018882E3,Standard,Urban,Electronics,Digital Wallet,Success,Standard,4.6,Late,5,Yes,No,2480.79
CUST-2A1E76F6,ORD-018C2540,Standard,Suburban,Electronics,Digital Wallet,Success,Standard,1.3,On Time,5,No,Yes,2493.55
CUST-93542421,ORD-018D1E52,Premium,Urban,Electronics,Credit Card,Success,Standard,3.9,On Time,5,No,No,1849.43
CUST-7793F35A,ORD-01939DAC,Standard,Urban,Clothing,Digital Wallet,Success,Standard,3.6,On Time,5,No,No,198.3
CUST-798BA34F,ORD-019407D7,Premium,Urban,Home,Credit Card,Success,Standard,4.9,On Time,5,No,No,896.39
CUST-1BB9CE9A,ORD-01942D06,Standard,Urban,Toys,Bank Transfer,Success,Standard,6.1,Late,4,No,No,249.18
CUST-7E3D12A5,ORD-0194EE5A,Premium,Suburban,Toys,Digital Wallet,Success,Standard,1.4,On Time,5,No,No,80.58
CUST-E939EBE3,ORD-0194EF30,Standard,Urban,Electronics,Digital Wallet,Success,Standard,3.3,On Time,5,No,No,1389.28
CUST-DB0242F3,ORD-01962C27,Standard,Urban,Home,Credit Card,Success,Standard,2.0,On Time,5,No,No,360.73
CUST-A782DEF6,ORD-019782DA,Standard,Urban,Electronics,Credit Card,Success,Standard,2.9,On Time,4,No,No,2812.11
CUST-8BC0DEFE,ORD-019C2EF2,Standard,Suburban,Electronics,Digital Wallet,Success,Standard,2.3,On Time,5,No,No,1522.57
CUST-AD5A6085,ORD-019EFD44,Standard,Urban,Home,Credit Card,Success,Standard,5.9,Late,3,Yes,No,452.1
CUST-0757CAD8,ORD-019F0059,Standard,Urban,Toys,Digital Wallet,Success,Standard,2.9,On Time,5,No,No,160.24
CUST-A1387783,ORD-01A0D511,Standard,Urban,Home,Digital Wallet,Success,Standard,4.7,Late,4,Yes,No,225.36
CUST-0A698FE8,ORD-01A65D3E,Premium,Urban,Electronics,Credit Card,Success,Express,1.6,On Time,5,No,No,1776.98
CUST-9E8889FF,ORD-01A80659,Premium,Urban,Clothing,Digital Wallet,Success,Express,2.8,On Time,4,No,No,144.05
CUST-C4B37BE2,ORD-01ABF3FF,Standard,Rural,Electronics,Digital Wallet,Success,Standard,4.1,On Time,4,No,No,991.43
CUST-7A496D1F,ORD-01AE7792,Standard,Rural,Electronics,Digital Wallet,Success,Standard,8.8,Late,2,No,No,2186.3
CUST-C170CF58,ORD-01B0357F,Standard,Urban,Home,Digital Wallet,Success,Standard,4.1,On Time,5,No,No,438.5
CUST-21875D1D,ORD-01B65F3D,Premium,Urban,Home,Digital Wallet,Success,Express,2.8,On Time,4,No,No,139.22
CUST-0A3D2609,ORD-01B6C9F6,Standard,Urban,Clothing,Digital Wallet,Success,Standard,4.5,On Time,3,No,No,443.05
CUST-11B2556C,ORD-01B73739,Standard,Urban,Clothing,Credit Card,Success,Standard,2.9,On Time,5,No,No,102.81
CUST-07C50AE8,ORD-01B9728D,Standard,Rural,Groceries,Bank Transfer,Success,Standard,4.0,On Time,5,No,No,299.23
CUST-105241B8,ORD-01BBC9A5,VIP,Urban,Clothing,Bank Transfer,Success,Express,1.0,On Time,5,Yes,No,84.46
CUST-3D5D292D,ORD-01BD2281,Standard,Urban,Home,Digital Wallet,Success,Standard,1.0,On Time,5,No,No,222.52
CUST-64AEEDF2,ORD-01C04F84,Standard,Urban,Groceries,Credit Card,Success,Standard,1.2,On Time,5,No,No,78.53
CUST-900CAEC4,ORD-01C9CBC2,Standard,Suburban,Groceries,Credit Card,Success,Standard,2.6,On Time,5,No,No,28.98
CUST-84ABF6DA,ORD-01C9D085,VIP,Rural,Home,Credit Card,Failed,Express,4.5,Cancelled,3,No,No,482.93
CUST-F51E336F,ORD-01CBC58B,Standard,Suburban,Groceries,Credit Card,Success,Standard,2.9,On Time,5,No,No,309.25
CUST-077CE98E,ORD-01CDB237,Standard,Urban,Home,Credit Card,Success,Standard,8.4,Late,3,No,No,209.69
CUST-30616B41,ORD-01D3C048,Standard,Suburban,Clothing,Bank Transfer,Success,Standard,2.8,On Time,5,Yes,No,114.19
CUST-485A4D82,ORD-01D43F75,Standard,Suburban,Home,Digital Wallet,Success,Standard,2.9,On Time,5,No,No,806.93
CUST-3D2EF141,ORD-01D7AA3F,Standard,Suburban,Groceries,Digital Wallet,Success,Standard,4.6,Late,5,No,No,77.58
CUST-DA67D754,ORD-01D8365E,Standard,Suburban,Electronics,Digital Wallet,Success,Standard,2.3,On Time,5,No,No,406.35
CUST-914CEE2C,ORD-01DC1F35,VIP,Suburban,Clothing,Digital Wallet,Success,Express,1.9,On Time,5,No,No,97.97
CUST-3B9756D7,ORD-01DF380D,Standard,Urban,Electronics,Credit Card,Success,Standard,4.8,Late,5,No,No,1968.39
CUST-6EB67427,ORD-01E77BE6,Standard,Rural,Clothing,Credit Card,Success,Standard,3.0,On Time,4,No,No,223.34
CUST-343CC70F,ORD-01E7D7C5,Standard,Rural,Groceries,Credit Card,Success,Standard,3.7,On Time,5,No,No,128.75
CUST-8DDD212C,ORD-01E9BBF2,Standard,Urban,Electronics,Bank Transfer,Success,Standard,3.0,On Time,5,No,No,572.87
CUST-F07057AB,ORD-01EA589A,Standard,Urban,Clothing,Credit Card,Success,Standard,4.6,Late,4,No,No,273.38
CUST-9E7D3608,ORD-01EC7DE7,Standard,Urban,Groceries,Digital Wallet,Success,Standard,5.6,Late,4,No,No,259.64
CUST-2D00A9A4,ORD-01EE3B5C,Standard,Suburban,Groceries,Digital Wallet,Success,Standard,2.4,On Time,5,No,No,56.2
CUST-77381BFA,ORD-01EF9CCF,Standard,Urban,Clothing,Credit Card,Success,Standard,5.2,On Time,4,No,No,427.09
CUST-4BE8B071,ORD-01F227FB,Standard,Urban,Groceries,Credit Card,Success,Standard,7.6,Late,3,Yes,No,478.42
CUST-C5FBD0DA,ORD-01F30C12,Premium,Suburban,Clothing,Digital Wallet,Success,Express,3.9,Late,4,Yes,No,147.45
CUST-45EEA8B4,ORD-01F4B789,Standard,Rural,Home,Credit Card,Success,Standard,5.4,Late,4,Yes,No,546.02
CUST-29E8C50E,ORD-01F5BDD0,Premium,Suburban,Toys,Credit Card,Success,Standard,9.3,Late,2,No,No,114.93
CUST-D74B4144,ORD-01F5DF48,Standard,Urban,Electronics,Credit Card,Success,Standard,5.3,Late,4,No,No,2588.96
CUST-CAE44416,ORD-01F8763A,Standard,Rural,Toys,Bank Transfer,Success,Standard,10.4,Late,2,No,No,158.37
CUST-ADC2219E,ORD-01FCC3F5,Standard,Urban,Clothing,Digital Wallet,Success,Standard,2.8,On Time,5,No,No,439.44
CUST-790737A2,ORD-0202F0B1,Premium,Urban,Electronics,Credit Card,Success,Express,1.9,On Time,4,No,No,1174.93
CUST-99570C94,ORD-0204D521,Standard,Urban,Home,Digital Wallet,Success,Standard,2.2,On Time,5,No,No,636.28
CUST-193784E0,ORD-02071E11,Premium,Urban,Clothing,Digital Wallet,Success,Standard,2.6,On Time,4,No,No,343.99
CUST-EC9688E7,ORD-020A5DF8,Standard,Suburban,Electronics,Credit Card,Success,Standard,2.9,On Time,5,No,No,1899.87
CUST-8AB25073,ORD-020A7CBC,Premium,Urban,Groceries,Credit Card,Success,Standard,4.2,On Time,5,No,No,126.29
CUST-651E0157,ORD-020CA37B,VIP,Urban,Home,Credit Card,Success,Express,2.6,On Time,4,No,No,299.82
CUST-26E3F700,ORD-0212E1BC,VIP,Urban,Toys,Credit Card,Success,Express,2.3,On Time,5,No,No,27.83
CUST-1524203A,ORD-02130DD7,VIP,Suburban,Clothing,Digital Wallet,Success,Express,6.5,Late,3,No,No,368.22
CUST-246EA2A1,ORD-021B41E6,Standard,Urban,Clothing,Credit Card,Success,Standard,9.3,Late,3,No,No,100.81
CUST-91F3BD4F,ORD-0223DE33,Standard,Rural,Clothing,Digital Wallet,Success,Standard,5.7,Late,4,No,No,571.42
CUST-BD777285,ORD-0227FDBB,Premium,Suburban,Groceries,Digital Wallet,Success,Standard,7.4,Late,3,No,No,287.87
CUST-302677A0,ORD-0229E60E,Standard,Urban,Toys,Credit Card,Success,Standard,3.1,On Time,5,No,No,54.83
CUST-B2DD8C08,ORD-022DCAA1,Standard,Rural,Home,Digital Wallet,Success,Standard,3.8,On Time,5,No,No,412.04
CUST-C3006FFE,ORD-022E4F5F,Premium,Rural,Electronics,Credit Card,Success,Express,6.4,Late,3,No,No,535.02
CUST-3B7B445B,ORD-02301387,Premium,Urban,Groceries,Credit Card,Success,Standard,3.4,On Time,5,No,No,113.16
CUST-B5238035,ORD-023760E5,Standard,Rural,Electronics,Digital Wallet,Success,Standard,4.8,Late,5,Yes,No,73.19
CUST-3FA1A587,ORD-023B4696,Standard,Urban,Clothing,Digital Wallet,Success,Standard,2.2,On Time,5,Yes,No,163.28
CUST-A0900039,ORD-023CA39D,Standard,Urban,Electronics,Credit Card,Success,Standard,2.1,On Time,5,Yes,No,1400.27
CUST-FA10D12F,ORD-023D1862,Premium,Urban,Clothing,Digital Wallet,Success,Express,1.3,On Time,5,Yes,No,102.27
CUST-5AFBE96F,ORD-023DA77A,Standard,Rural,Clothing,Credit Card,Success,Standard,5.1,Late,4,No,No,440.99
CUST-CB7E1188,ORD-02409FC0,Premium,Suburban,Clothing,Bank Transfer,Success,Standard,3.9,On Time,4,Yes,No,462.34
CUST-0B46DA54,ORD-0240E1ED,Standard,Urban,Home,Digital Wallet,Success,Standard,2.0,On Time,5,No,No,448.67
CUST-19376E82,ORD-024194E0,Standard,Rural,Clothing,Digital Wallet,Success,Standard,2.9,On Time,5,Yes,No,128.59
